,,Producción Institucional,,,,,,,,Análisis por autor,,,,,,,,,,,,,,,,,,,,Colaboraciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citas,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Primeros autores,,,Autorías por institución,,Primeros autores,,,Autorías por institución,,Primeros autores,,,Autorías por institución,,Primeros autores,,,Autorías por institución,,Totales,,,Totales,,,Totales,,,Totales,,,Nacional,,,Nacional,,,Nacional,,,Nacional,,,Internacional,,,Internacional,,,Internacional,,,Internacional,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,,SCI,,SSCI,,AHCI,,Total,,,Total,,SCI,,,SCI,,SSCI,,,SSCI,,AHCI,,,AHCI,,Total,,,SCI,,,SSCI,,,AHCI,,,Total,,,SCI,,,SSCI,,,AHCI,,,Total,,,SCI,,,SSCI,,,AHCI,,,Total,,,,,SCI,,,,,SSCI,,,,,AHCI,,,,,,,
,,Núm.,%Nal.,Núm.,%Nal.,Núm.,%Nal.,Núm.,%Nal.,Núm.,%Nal.,%Inst.,Núm.,%Aut.Nal.,Núm.,%Nal.,%Inst.,Núm.,%Aut.Nal.,Núm.,%Nal.,%Inst.,Núm.,%Aut.Nal.,Núm.,%Nal.,%Inst.,Núm.,%Aut.Nal.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,?,Núm.,%Nal.,%Inst.,Núm.,?,Núm.,%Nal.,%Inst.,Núm.,?,Núm.,%Nal.,%Inst.,Núm.,?,,,
6,UNIVERSIDAD DE GUADALAJARA,749,4.1,703,4.1,108,5.4,5,1.6,484,2.6,64.62,1479,2.32,445,2.6,63.3,1410,2.28,83,4.1,76.85,103,3.55,5,1.6,100,3,0.91,461,6,61.5,445,6,63.3,57,9.1,52.8,0,0,0,460,6.1,61.4,444,6.1,63.2,57,9.2,52.8,0,0,0,1,3.1,0.1,1,3.3,0.1,0,0,0,0,0,0,310,3.4,41.39,1094,3.5,299,3.4,42.53,1079,3.6,31,3.7,28.7,76,2.5,0,0,0,0,0,,,
7,SISTEMA INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,687,3.7,628,3.7,91,4.5,10,3.2,532,2.9,77.44,1571,2.46,476,2.8,75.8,1498,2.42,81,4,89.01,100,3.44,10,3.2,100,11,3.35,269,3.5,39.2,262,3.6,41.7,19,3,20.9,0,0,0,269,3.5,39.2,262,3.6,41.7,19,3.1,20.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,4.4,58.66,1620,4,376,4.2,59.87,1573,4.2,54,6.4,59.34,145,2.7,0,0,0,0,0,,,
8,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,668,3.6,647,3.8,26,1.3,8,2.6,362,2,54.19,1778,2.79,346,2,53.48,1745,2.82,15,0.7,57.69,19,0.65,6,1.9,75,19,5.79,485,6.4,72.6,475,6.5,73.4,13,2.1,50,5,15.2,62.5,485,6.4,72.6,475,6.5,73.4,13,2.1,50,5,15.6,62.5,0,0,0,0,0,0,0,0,0,0,0,0,427,4.7,63.92,2100,4.9,423,4.8,65.38,2095,5,10,1.2,38.46,34,3.4,2,5.9,25,2,1,,,
9,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,568,3.1,552,3.2,31,1.5,4,1.3,315,1.7,55.46,1456,2.28,304,1.8,55.07,1433,2.32,22,1.1,70.97,34,1.17,3,1,75,3,0.91,400,5.2,70.4,391,5.3,70.8,19,3,61.3,3,9.1,75,400,5.3,70.4,391,5.3,70.8,19,3.1,61.3,3,9.4,75,0,0,0,0,0,0,0,0,0,0,0,0,322,3.5,56.69,1618,5,318,3.6,57.61,1611,5.1,9,1.1,29.03,14,1.6,2,5.9,50,3,1.5,,,
10,UNIVERSIDAD DE GUANAJUATO,459,2.5,443,2.6,20,1,5,1.6,328,1.8,71.46,1001,1.57,315,1.8,71.11,982,1.59,11,0.5,55,18,0.62,5,1.6,100,5,1.52,242,3.2,52.7,237,3.2,53.5,11,1.8,55,0,0,0,242,3.2,52.7,237,3.2,53.5,11,1.8,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,3,60.13,949,3.4,275,3.1,62.08,948,3.4,7,0.8,35,17,2.4,0,0,0,0,0,,,
11,UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,452,2.5,436,2.5,31,1.5,4,1.3,286,1.6,63.27,925,1.45,273,1.6,62.61,911,1.47,19,0.9,61.29,20,0.69,4,1.3,100,5,1.52,325,4.3,71.9,319,4.3,73.2,19,3,61.3,1,3,25,325,4.3,71.9,319,4.3,73.2,19,3.1,61.3,1,3.1,25,1,3.1,0.2,1,3.3,0.2,1,25,3.2,0,0,0,195,2.1,43.14,624,3.2,191,2.2,43.81,617,3.2,15,1.8,48.39,41,2.7,1,2.9,25,4,4,,,
12,UNIVERSIDAD MICHOACANA DE SAN NICOLAS DE HIDALGO,365,2,356,2.1,13,0.6,5,1.6,212,1.2,58.08,840,1.32,205,1.2,57.58,827,1.34,7,0.3,53.85,12,0.41,5,1.6,100,5,1.52,246,3.2,67.4,243,3.3,68.3,7,1.1,53.8,0,0,0,246,3.2,67.4,243,3.3,68.3,7,1.1,53.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,2.1,53.42,667,3.4,194,2.2,54.49,666,3.4,4,0.5,30.77,9,2.3,0,0,0,0,0,,,
13,UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,351,1.9,344,2,20,1,1,0.3,178,1,50.71,653,1.02,174,1,50.58,646,1.05,8,0.4,40,13,0.45,1,0.3,100,1,0.3,261,3.4,74.4,258,3.5,75,14,2.2,70,0,0,0,261,3.4,74.4,258,3.5,75,14,2.3,70,0,0,0,1,3.1,0.3,1,3.3,0.3,1,25,5,0,0,0,185,2,52.71,404,2.2,183,2.1,53.2,401,2.2,8,1,40,12,1.5,0,0,0,0,0,,,
14,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA,338,1.8,321,1.9,45,2.2,2,0.6,208,1.1,61.54,699,1.1,195,1.1,60.75,684,1.11,30,1.5,66.67,33,1.14,1,0.3,50,2,0.61,226,3,66.9,217,2.9,67.6,28,4.5,62.2,1,3,50,226,3,66.9,217,3,67.6,28,4.5,62.2,1,3.1,50,0,0,0,0,0,0,0,0,0,0,0,0,159,1.7,47.04,417,2.6,152,1.7,47.35,403,2.7,15,1.8,33.33,25,1.7,0,0,0,0,0,,,
15,UNIVERSIDAD VERACRUZANA,321,1.7,310,1.8,42,2.1,4,1.3,192,1,59.81,518,0.81,182,1.1,58.71,503,0.81,34,1.7,80.95,29,1,4,1.3,100,2,0.61,228,3,71,225,3.1,72.6,20,3.2,47.6,0,0,0,228,3,71,225,3.1,72.6,20,3.2,47.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,1.7,47.98,408,2.6,152,1.7,49.03,406,2.7,18,2.1,42.86,40,2.2,0,0,0,0,0,,,
