Núm.,Institución,SNI,,,,,ISI                                                                                                  (Artículos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Nivel 3,Nivel 2,Nivel 1,Candidatos,Producción Institucional,,,,Análisis por autor,,,,,,,,Colaboraciones,,,,,,,,,,,,Citas,,,,,,,,
,,,,,,,,,,,Primeros autores,Autorías por institución,Primeros autores,Autorías por institución,Primeros autores,Autorías por institución,Primeros autores,Autorías por institución,Totales,Totales,Totales,Totales,Nacional,Nacional,Nacional,Nacional,Internacional,Internacional,Internacional,Internacional,,,,,,,,,
,,Total,Total,Total,Total,Total,Total,SCI,SSCI,AHCI,Total,Total,SCI,SCI,SSCI,SSCI,AHCI,AHCI,Total,SCI,SSCI,AHCI,Total,SCI,SSCI,AHCI,Total,SCI,SSCI,AHCI,Total,,SCI,,SSCI,,AHCI,,
,,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,
22,UNIVERSIDAD AUTONOMA DE CIUDAD JUAREZ,234,1,16,159,58,89,85,6,1,55,164,51,159,6,7,1,2,66,64,4,0,66,64,4,0,0,0,0,0,45,124,45,124,3,5,0,0,
23,EL COLEGIO DE MEXICO,195,89,52,38,16,27,4,22,6,21,22,4,2,17,17,5,4,10,2,8,1,10,2,8,1,0,0,0,0,5,10,2,6,4,9,1,1,
24,UNIVERSIDAD DE COLIMA,194,7,23,113,51,145,141,12,0,71,278,68,273,8,9,0,0,122,120,8,0,122,120,8,0,0,0,0,0,74,211,73,206,5,11,0,0,
25,UNIVERSIDAD AUTONOMA DE ZACATECAS,185,6,25,112,42,122,115,9,3,74,218,67,210,5,5,3,4,84,83,5,0,84,83,5,0,0,0,0,0,51,118,50,117,4,5,0,0,
26,UNIVERSIDAD AUTONOMA DE COAHUILA,146,1,8,96,41,108,105,3,1,55,220,53,218,1,1,1,1,84,83,2,0,84,83,2,0,0,0,0,0,61,179,61,179,0,0,0,0,
27,UNIVERSIDAD AUTONOMA CHAPINGO,146,6,22,90,28,146,142,9,0,74,247,72,242,4,9,0,0,116,113,7,0,116,113,7,0,0,0,0,0,42,75,41,74,3,4,0,0,
28,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,142,3,7,81,51,85,76,17,0,46,162,37,154,14,12,0,0,59,57,9,0,59,57,9,0,0,0,0,0,32,53,25,39,9,16,0,0,
29,UNIVERSIDAD JUAREZ AUTONOMA DE TABASCO,140,2,5,87,46,125,123,4,0,69,264,68,258,3,6,0,0,99,98,3,0,99,98,3,0,0,0,0,0,61,158,61,158,0,0,0,0,
30,SISTEMA UNIVERSIDAD IBEROAMERICANA,131,7,36,64,24,169,143,25,7,42,2639,22,2606,20,30,3,7,141,129,10,6,141,129,10,6,0,0,0,0,125,1035,111,1003,13,31,2,2,
31,UNIVERSIDAD AUTONOMA DE CHIHUAHUA,127,0,6,86,35,113,99,23,0,53,224,45,202,12,31,0,0,96,86,17,0,96,86,17,0,0,0,0,0,28,47,28,47,3,3,0,0,
32,UNIVERSIDAD AUTONOMA DE AGUASCALIENTES,124,2,19,65,38,74,72,4,0,47,123,45,118,4,7,0,0,47,45,3,0,47,45,3,0,0,0,0,0,33,94,33,94,0,0,0,0,
33,UNIVERSIDAD AUTONOMA DE GUERRERO,120,1,6,62,51,104,101,8,0,63,203,60,200,8,8,0,0,71,69,4,0,71,69,4,0,0,0,0,0,61,173,60,172,5,19,0,0,
34,UNIVERSIDAD AUTONOMA DE CHIAPAS,111,0,4,81,26,55,55,1,0,15,185,15,185,0,1,0,0,48,48,1,0,48,48,1,0,0,0,0,0,36,184,36,184,0,0,0,0,
35,UNIVERSIDAD JUAREZ DEL ESTADO DE DURANGO,106,2,8,70,26,107,105,6,1,56,211,55,210,3,3,1,1,86,85,5,0,86,85,5,0,0,0,0,0,50,91,50,91,1,1,0,0,
36,UNIVERSIDAD AUTONOMA DE TLAXCALA,102,0,10,74,18,64,63,6,0,35,137,35,133,3,7,0,0,52,51,6,0,52,51,6,0,0,0,0,0,39,109,39,109,3,7,0,0,
37,UNIVERSIDAD AUTONOMA DE NAYARIT,101,0,5,67,29,72,70,2,0,32,136,31,134,1,2,0,0,63,61,2,0,63,61,2,0,0,0,0,0,31,111,31,111,0,0,0,0,
38,UNIVERSIDAD PEDAGOGICA NACIONAL,101,0,6,73,22,5,2,2,1,3,8,1,4,1,3,1,1,5,2,2,1,5,2,2,1,0,0,0,0,1,3,0,0,1,3,0,0,
39,UNIVERSIDAD PANAMERICANA,98,3,13,58,24,41,26,15,6,26,57,15,43,9,13,6,6,21,16,7,0,21,16,7,0,0,0,0,0,16,28,15,27,7,9,0,0,
40,UNIVERSIDAD AUTONOMA DE LA CIUDAD DE MEXICO,98,0,5,70,23,82,71,13,1,41,2,34,0,9,0,1,2,65,59,8,0,65,59,8,0,0,0,0,0,42,115,40,113,4,26,0,0,
41,INSTITUTO TECNOLOGICO AUTONOMO DE MEXICO,97,10,15,58,14,66,32,40,0,58,66,26,33,37,37,0,0,21,11,12,0,21,11,12,0,0,0,0,0,35,70,13,29,25,52,0,0,
42,SISTEMA UNIVERSIDAD ANAHUAC,96,2,7,61,26,51,34,15,5,22,78,11,60,12,14,1,5,43,32,8,5,43,32,8,5,0,0,0,0,26,50,18,39,7,10,2,2,
43,"UNIVERSIDAD DE LAS AMERICAS PUEBLA, AC",88,7,14,48,19,66,61,7,1,40,116,36,110,6,6,1,1,35,33,2,1,35,33,2,1,0,0,0,0,40,108,38,106,3,10,1,1,
44,INSTITUTO TECNOLOGICO DE SONORA,68,2,3,39,24,53,51,3,0,31,109,29,107,3,2,0,0,34,32,3,0,34,32,3,0,0,0,0,0,30,112,29,109,1,3,0,0,
45,UNIVERSIDAD AUTONOMA AGRARIA ANTONIO NARRO,66,4,6,42,14,84,83,1,0,50,202,49,201,1,1,0,0,68,67,1,0,68,67,1,0,0,0,0,0,32,95,31,94,1,1,0,0,
46,UNIVERSIDAD DE QUINTANA ROO,62,0,2,51,9,34,32,5,0,16,46,14,44,3,3,0,0,27,26,4,0,27,26,4,0,0,0,0,0,18,85,16,78,4,11,0,0,
47,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA SUR,52,1,4,35,12,39,39,0,0,21,72,21,72,0,0,0,0,33,33,0,0,33,33,0,0,0,0,0,0,18,31,18,31,0,0,0,0,
48,UNIVERSIDAD AUTONOMA BENITO JUAREZ DE OAXACA,52,1,2,30,19,43,41,4,1,23,80,22,78,1,2,1,1,36,35,3,0,36,35,3,0,0,0,0,0,20,50,20,50,0,0,0,0,
49,UNIVERSIDAD AUTONOMA DE CAMPECHE,51,1,10,33,7,69,66,9,0,30,103,27,99,6,6,0,0,57,57,4,0,57,57,4,0,0,0,0,0,26,60,25,58,4,8,0,0,
50,UNIVERSIDAD DE MONTERREY,47,0,4,23,20,28,21,12,0,18,46,13,36,9,14,0,0,14,12,4,0,14,12,4,0,0,0,0,0,17,34,13,25,6,15,0,0,
51,UNIVERSIDAD POPULAR AUTONOMA DEL ESTADO DE PUEBLA,45,2,5,27,11,26,19,11,0,12,50,11,44,5,11,0,0,19,13,9,0,19,13,9,0,0,0,0,0,14,29,10,13,7,20,0,0,
52,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE OCCIDENTE,39,2,2,25,10,23,21,3,0,10,29,8,27,2,3,0,0,18,18,1,0,18,18,1,0,0,0,0,0,9,22,8,20,2,4,0,0,
53,UNIVERSIDAD AUTONOMA DEL CARMEN,38,0,1,24,13,29,29,0,0,12,55,12,55,0,0,0,0,28,28,0,0,28,28,0,0,0,0,0,0,13,30,13,30,0,0,0,0,
54,"SISTEMA UNIVERSIDAD LA SALLE, AC",35,0,2,18,15,31,29,4,0,9,47,9,45,0,2,0,0,24,22,4,0,24,22,4,0,0,0,0,0,17,39,16,37,1,2,0,0,
55,UNIVERSIDAD AUTONOMA DE GUADALAJARA,20,1,1,12,6,13,11,1,1,5,15,4,14,0,0,1,1,11,10,1,0,11,10,1,0,0,0,0,0,7,15,6,14,1,1,0,0,
56,SISTEMA UNIVERSIDAD DEL VALLE DE MEXICO,14,1,0,3,10,30,30,2,0,12,40,12,40,0,0,0,0,25,25,2,0,25,25,2,0,0,0,0,0,16,37,16,37,1,1,0,0,
57,UNIVERSIDAD DEL EJERCITO Y FUERZA AEREA,6,0,0,1,5,3,3,0,0,2,9,2,9,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,3,12,3,12,0,0,0,0,
58,UNIVERSIDAD INTERCONTINENTAL,4,0,0,4,0,1,1,0,0,0,3,0,3,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
59,"UNIVERSIDAD REGIOMONTANA, AC",3,0,0,3,0,1,0,1,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
60,UNIVERSIDAD TECNOLOGICA DE MEXICO,2,0,0,1,1,4,4,0,0,2,4,2,4,0,0,0,0,4,4,0,0,4,4,0,0,0,0,0,0,2,2,2,2,0,0,0,0,
61,UNIVERSIDAD NAVAL (UNINAV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
